Bkg Branch,Delivery Branch,Card Rate,,,,
TALOJA,JAIPUR,7.96,,,,
TALOJA,KANAKAPURA ROAD - BNG,8.95,,,,
TALOJA,TIRUNELVELI,13.84,,,,
TALOJA,HINDUPUR,9.83,,,,
TALOJA,RANJANGAON,4.46,,,,
TALOJA,KAKINADA,10.93,,,,
TALOJA,BOLLARAM,7.87,,,,
TALOJA,MUNDRA,4.93,,,,
TALOJA,LUCKNOW,10.93,,,,
TALOJA,CHANGODAR,4.05,,,,
TALOJA,KOLKATA(B T ROAD),11.81,,,,
TALOJA,BHILAI,8.4,,,,
TALOJA,NELAMANGALA (BKG & DLY),7.79,,,,
TALOJA,HIMATNAGAR,4.38,,,,
TALOJA,BELGAUM,8.07,,,,
TALOJA,FARIDABAD,7.26,,,,
TALOJA,MADURAVOYIL DELIVERY,9.22,,,,
TALOJA,DARED,4.38,,,,
VADPE,BHILAI,8.4,,,,
VADPE,JIGANI,8.62,,,,
VADPE,BARODA - KARELIBAUG,3.83,,,,
VADPE,DARED,4.46,,,,
VADPE,KOTHUR,7.49,,,,
VADPE,DAMAN DELIVERY UT,3.01,,,,
VADPE,VERAVAL,5.48,,,,
VADPE,DARED,4.46,,,,
VADPE,KALAMASSERY,11.06,,,,
VADPE,BARODA - KARELIBAUG,3.83,,,,
VADPE,AMBATTUR-CHENNAI,9.5,,,,
VADPE,NALAGARH,9.5,,,,
VADPE,OKHLA-1,7.46,,,,
VADPE,GURGAON BKG & DLY,6.8,,,,
VADPE,VAPI DELIVERY,2.51,,,,
VADPE,LUDHIANA,8.75,,,,
VADPE,VASAI HIGHWAY,3.03,,,,
VADPE,MAKARPURA,3.91,,,,
VADPE,V V NAGAR,3.91,,,,
VADPE,PUNE CITY,3.03,,,,
VADPE,CHHATRAL (N.G.),3.91,,,,
VADPE,NASIK,3.3,,,,
VADPE,BHOPAL,6,,,,
VADPE,WAGHOLI,3.3,,,,
VADPE,WAGHOLI,3.3,,,,
VADPE,HINJEWADI,3.3,,,,
VADPE,BARAMATI,4.46,,,,
VADPE,RUDRAPUR,9.02,,,,
VADPE,GHAZIABAD,7.59,,,,
VADPE,BHIWADI - RAJASTHAN,8.14,,,,
VADPE,CHAKAN CENTRAL CELL,3.03,,,,
VADPE,LONAND - KHANDALA,3.47,,,,
VADPE,PUNE CITY,3.03,,,,
VADPE,BALANAGAR,6.6,,,,
VADPE,KOLHAPUR,5.01,,,,
VADPE,NASIK,3.3,,,,
VADPE,VASAI HIGHWAY,3.03,,,,
VADPE,MAKARPURA,3.91,,,,
VADPE,MAHAPE,3.91,,,,
VADPE,MAHAPE,3.91,,,,
VADPE,PITHAMPUR,5.45,,,,
VADPE,AMBERNATH,3.3,,,,
VADPE,DEWAS (TOWN),5.45,,,,
VADPE,JAMSHEDPUR,10.78,,,,
VADPE,BILIMORA,2.64,,,,
VADPE,NASIK,3.3,,,,
VADPE,AHEMADNAGAR,3.3,,,,
VADPE,AMBATTUR-CHENNAI,9.3,,,,
VADPE,WAGHOLI,3.3,,,,
VADPE,NASIK,3.3,,,,
VADPE,AHEMADNAGAR,3.3,,,,
VADPE,VAPI DELIVERY,2.31,,,,
VADPE,MEERUT,8.62,,,,
VADPE,CHANDIGARH BRANCH,8.07,,,,
VADPE,SRIPERUMBUDUR,8.95,,,,
VADPE,JALANDHAR FR,9.83,,,,
VADPE,LUDHIANA,8.95,,,,
VADPE,NAGPUR (WADI),6.44,,,,
VADPE,GHAZIABAD,7.79,,,,
VADPE,CHANGODAR,4.05,,,,
VADPE,SECUNDERABAD,6.2,,,,
VADPE,LASUDIA,5.37,,,,
VADPE,KALAMASSERY,11.26,,,,
VADPE,FARIDABAD,7.46,,,,
VADPE,PEENYA,8.34,,,,
VADPE,WAGHOLI,3.5,,,,
VADPE,LUDHIANA,8.95,,,,
VADPE,NAGPUR (WADI),6.44,,,,
VADPE,UMARGAON,2.18,,,,
VADPE,SURAT CITY,3.5,,,,
VADPE,AHEMADNAGAR,3.3,,,,
VADPE,ANKLESHWAR,2.64,,,,
VADPE,SINNER,3.63,,,,
VADPE,LATUR,7.54,,,,
VADPE,VERNA-GOA,7.1,,,,
VADPE,BHUBANESWAR,11.61,,,,
VADPE,ERODE,9.9,,,,
VADPE,V V NAGAR,3.91,,,,
VADPE,PHURSUNGHI,3.3,,,,
VADPE,BALANAGAR,6.8,,,,
VADPE,NIGDI,3.03,,,,
VADPE,PHURSUNGI DELIVERY,2.94,,,,
VADPE,TEMBHURNI,5.91,,,,
VADPE,KARAD,5.28,,,,
VADPE,SRIPERUMBUDUR,8.75,,,,
VADPE,HARIDWAR,8.34,,,,
VADPE,HARIDWAR,8.34,,,,
VADPE,PERUNDURAI SIPCOT,10.1,,,,
VADPE,PATANCHERU,6.8,,,,
VADPE,SHIRVAL,3.5,,,,
VADPE,HARIDWAR,8.34,,,,
VADPE,AJMER,9.22,,,,
VADPE,SRIPERUMBUDUR,8.95,,,,
VADPE,DAMAN DELIVERY UT,3.01,,,,
VADPE,BOMMASANDRA,8.62,,,,
VADPE,MAHAPE,4.11,,,,
VADPE,HUBLI – TARIHAL,6.6,,,,
VADPE,HUBLI – TARIHAL,6.6,,,,
VADPE,KOLHAPUR,5.01,,,,
VADPE,KOLHAPUR,5.01,,,,
VADPE,PHURSUNGI DELIVERY,2.94,,,,
VADPE,NIGDI,3.03,,,,
VADPE,CHAKAN CENTRAL CELL,3.03,,,,
VADPE,PHURSUNGI DELIVERY,2.94,,,,
VADPE,DINDIGUL,9.9,,,,
VADPE,KOLKATA(B T ROAD),10.78,,,,
VADPE,V V NAGAR,3.91,,,,
VADPE,VARANASI,11.94,,,,
VADPE,GURGAON BKG & DLY,6.8,,,,
VADPE,KOTHUR,7.29,,,,
