Bkg Branch,Delivery Branch,Card Rate,,,,
MIRA ROAD,GONDAL,4.13,,,,
MIRA ROAD,LUDHIANA,8.97,,,,
MIRA ROAD,KUNDLI BRANCH,7.21,,,,
MIRA ROAD,FARIDABAD,6.82,,,,
MIRA ROAD,DELHI (RAMA ROAD),6.82,,,,
MIRA ROAD,NOIDA,7.21,,,,
MIRA ROAD,ANDHERI,3.52,,,,
MIRA ROAD,AMBALA CITY,7.54,,,,
MIRA ROAD,JUNAGADH-SABALPUR,4.4,,,,
MIRA ROAD,VATVA,3.25,,,,
MIRA ROAD,BADDI (HIMACHAL PRADESH),8.09,,,,
MIRA ROAD,FARIDABAD,6.82,,,,
MIRA ROAD,NALAGARH,9.24,,,,
MIRA ROAD,PONDA,8.14,,,,
MIRA ROAD,KUNDLI BRANCH,7.21,,,,
MIRA ROAD,PIRANGUT,4.13,,,,
MIRA ROAD,BADDI (HIMACHAL PRADESH),8.09,,,,
MIRA ROAD,HUBSIGUDA,7.81,,,,
MIRA ROAD,DELHI (RAMA ROAD),6.82,,,,
MIRA ROAD,KUNDLI BRANCH,7.21,,,,
MIRA ROAD,SARKHEJ,3.52,,,,
MIRA ROAD,BILIMORA,2.42,,,,
MIRA ROAD,VYARA,4.4,,,,
MIRA ROAD,DEWAS (TOWN),6.27,,,,
MIRA ROAD,SURAT CITY,2.86,,,,
MIRA ROAD,RAJAJINAGAR,8.36,,,,
MIRA ROAD,MYSORE,8.69,,,,
MIRA ROAD,PHURSUNGHI,4.13,,,,
MIRA ROAD,BADDI (HIMACHAL PRADESH),8.09,,,,
MIRA ROAD,DAHEJ,4.13,,,,
MIRA ROAD,SARKHEJ,3.52,,,,
MIRA ROAD,AUTONAGAR-HYD,8.09,,,,
MIRA ROAD,MAKARPURA,3.52,,,,
MIRA ROAD,KATHWADA,3.52,,,,
MIRA ROAD,KALAMASSERY,11,,,,
MIRA ROAD,BHAVNAGAR,3.52,,,,
MIRA ROAD,VALSAD,2.31,,,,
MIRA ROAD,KUNDLI BRANCH,7.21,,,,
MIRA ROAD,NALAGARH,9.24,,,,
MIRA ROAD,NALAGARH,9.24,,,,
MIRA ROAD,FARIDABAD,6.82,,,,
MIRA ROAD,SALEM,9.24,,,,
MIRA ROAD,PARWANOO,9.52,,,,
MUMBAI,V V NAGAR,3.63,,,,
MUMBAI,PATANCHERU,7.59,,,,
MUMBAI,METODA,3.91,,,,
MUMBAI,CHANGODAR,3.85,,,,
MUMBAI,RUDANAGAR BRANCH,3.41,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,CHANGODAR,3.85,,,,
MUMBAI,INDORE CITY,4.9,,,,
MUMBAI,PADRA (DHABASA),3.63,,,,
MUMBAI,ODHAV,3.63,,,,
MUMBAI,TIRUNELVELI,12.76,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,HAZIRA,3.91,,,,
MUMBAI,DAVANAGERE,9.02,,,,
MUMBAI,GURGAON BKG & DLY,6.6,,,,
MUMBAI,GURGAON BKG & DLY,6.8,,,,
MUMBAI,GURGAON BKG & DLY,6.6,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,HAZIRA,3.91,,,,
MUMBAI,HAZIRA,3.91,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,DARED,4.18,,,,
MUMBAI,RUDRAPUR,8.42,,,,
MUMBAI,VAVDI-RAJKOT,4.46,,,,
MUMBAI,BHANGEL,7.26,,,,
MUMBAI,DARED,4.18,,,,
MUMBAI,PHURSUNGHI,5.01,,,,
MUMBAI,KALAMASSERY,11.06,,,,
MUMBAI,GAJUWAKA,10.45,,,,
MUMBAI,CHANDIGARH BRANCH,7.87,,,,
MUMBAI,PIRANGUT,4.73,,,,
MUMBAI,MAHUVA,4.73,,,,
MUMBAI,CHANGODAR,3.85,,,,
MUMBAI,NADIAD,3.63,,,,
MUMBAI,GANDHIDHAM CITY,4.18,,,,
MUMBAI,SRIPERUMBUDUR,8.75,,,,
MUMBAI,NOIDA,7.26,,,,
MUMBAI,BOMMASANDRA,8.42,,,,
MUMBAI,RAKHIAL,3.63,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,TIRUPUR,11.06,,,,
MUMBAI,BOMMASANDRA,8.42,,,,
MUMBAI,GANDHINAGAR,3.91,,,,
MUMBAI,GOBLEJ BKG & DLY,3.3,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,KOPPAL,8.75,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,KALOL (N.G.),4.18,,,,
MUMBAI,DEHRADUN,8.42,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,SONEPAT,7.26,,,,
MUMBAI,ANKLESHWAR,2.31,,,,
MUMBAI,BHARUCH,3.41,,,,
MUMBAI,BARODA - KARELIBAUG,3.63,,,,
MUMBAI,KALA-AMB,9.3,,,,
MUMBAI,GANDHINAGAR,3.91,,,,
MUMBAI,CHAKAN CENTRAL CELL,4.73,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,DADRA NAGAR HAVELI,2.26,,,,
MUMBAI,ODHAV,3.63,,,,
MUMBAI,AKOLA,8.14,,,,
MUMBAI,METODA,3.91,,,,
MUMBAI,DARED,4.18,,,,
MUMBAI,MURBAD,3.3,,,,
MUMBAI,GUNTUR,9.9,,,,
MUMBAI,SHIRVAL,5.01,,,,
MUMBAI,HAZIRA,3.91,,,,
MUMBAI,HUBSIGUDA,7.87,,,,
MUMBAI,PALLAVARAM - CHENNAI,7.13,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,BOISAR,3.3,,,,
MUMBAI,VASIND,4.73,,,,
MUMBAI,ROORKEE,8.14,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,TRICHY,11.33,,,,
MUMBAI,VYARA,4.51,,,,
MUMBAI,CHANDIGARH BRANCH,7.87,,,,
MUMBAI,PALGHAR,4.46,,,,
MUMBAI,DAMAN DELIVERY UT,1.98,,,,
MUMBAI,MANGALORE,8.42,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,JABALPUR,8.47,,,,
MUMBAI,MEHSANA (N.G.),4.02,,,,
MUMBAI,HUBSIGUDA,7.87,,,,
MUMBAI,GANDHIDHAM CITY,4.18,,,,
MUMBAI,SILIGURI,15.73,,,,
MUMBAI,GUWAHATI,16.83,,,,
MUMBAI,RAIPUR,8.2,,,,
MUMBAI,LASUDIA,4.57,,,,
MUMBAI,PATNA,11.88,,,,
MUMBAI,LUCKNOW,9.9,,,,
MUMBAI,HOWRAH,10.78,,,,
MUMBAI,LUDHIANA,8.75,,,,
MUMBAI,DAVANAGERE,9.02,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,SRIPERUMBUDUR,8.75,,,,
MUMBAI,PERUNGUDI,9.3,,,,
MUMBAI,HISAR,9.02,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,PADRA (DHABASA),3.63,,,,
MUMBAI,BOMMASANDRA,8.42,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,DADRA NAGAR HAVELI,2.26,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,THANA,3.3,,,,
MUMBAI,KIM,3.3,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,KATHWADA,3.74,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,MUNDRA,4.73,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,PIRANGUT,4.73,,,,
MUMBAI,KHOPOLI,5.01,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,SARKHEJ,3.63,,,,
MUMBAI,DEWAS (TOWN),5.45,,,,
MUMBAI,HUBSIGUDA,7.87,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,BHANDUP,2.37,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,CHANDIGARH BRANCH,7.87,,,,
MUMBAI,KATHWADA,3.74,,,,
MUMBAI,MAHAPE,3.91,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,MUNDRA,4.73,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,TRAJPAR (MORBI),4.18,,,,
MUMBAI,BAHADURPALLY DELIVERY,6.99,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,DAPODA,3.63,,,,
MUMBAI,MEHSANA (N.G.),4.02,,,,
MUMBAI,INDORE CITY,4.9,,,,
MUMBAI,DAPODA,3.63,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,DAPODA,3.63,,,,
MUMBAI,PATNA,11.88,,,,
MUMBAI,BROADWAY - CHENNAI,9.02,,,,
MUMBAI,PARDI,2.31,,,,
MUMBAI,KOLKATA-CENTRAL,11.33,,,,
MUMBAI,GANDHINAGAR,3.91,,,,
MUMBAI,KALAMASSERY,11.06,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,MANGALORE,8.42,,,,
MUMBAI,KHOPOLI,5.01,,,,
MUMBAI,GANDHIDHAM CITY,4.18,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,KOTHUR,8.21,,,,
MUMBAI,POR,3.63,,,,
MUMBAI,HARIDWAR,7.87,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,MYSORE,9.02,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,KALA-AMB,9.3,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,V V NAGAR,3.63,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,MANJUSAR,3.63,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,JAMSHEDPUR,11.88,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,GANDHIDHAM CITY,4.18,,,,
MUMBAI,ANKLESHWAR,2.31,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,CHANDIGARH BRANCH,7.87,,,,
MUMBAI,GANDHIDHAM CITY,4.18,,,,
MUMBAI,DODDABALLAPUR - BNG,8.42,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,JAIPUR,7.76,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,DOMBIVLI,3.3,,,,
MUMBAI,PHURSUNGHI,5.01,,,,
MUMBAI,NASIK,3.63,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,SURAT CITY,3.3,,,,
MUMBAI,SURAT CITY,3.3,,,,
MUMBAI,RUDANAGAR BRANCH,3.41,,,,
MUMBAI,HARIDWAR,7.87,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,MUNDRA,4.73,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,ERODE,10.73,,,,
MUMBAI,MANJUSAR,3.63,,,,
MUMBAI,VERAVAL,5.01,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,KALOL (N.G.),4.18,,,,
MUMBAI,KALOL (N.G.),4.18,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,GAJUWAKA,10.45,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,RAICHUR,9.3,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,TIKRI BORDER,9.02,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,DELHI (RAMA ROAD),6.99,,,,
MUMBAI,ODHAV,3.63,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,KURKUMBH,6.44,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,BROADWAY - CHENNAI,9.02,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,RAJAPALAYAM,12.76,,,,
MUMBAI,NOIDA,7.26,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,DAMAN DELIVERY UT,1.98,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,DARED,4.18,,,,
MUMBAI,PADRA (DHABASA),3.63,,,,
MUMBAI,THANA,3.3,,,,
MUMBAI,ANANTAPURAM,9.02,,,,
MUMBAI,MEHSANA (N.G.),4.02,,,,
MUMBAI,BROADWAY - CHENNAI,9.02,,,,
MUMBAI,AMRAVATI,7.92,,,,
MUMBAI,AMRAVATI,7.92,,,,
MUMBAI,V V NAGAR,3.63,,,,
MUMBAI,BHARUCH,3.41,,,,
MUMBAI,V V NAGAR,3.63,,,,
MUMBAI,WADA,3.3,,,,
MUMBAI,DAMAN DELIVERY UT,1.98,,,,
MUMBAI,NEELAMBUR,9.3,,,,
MUMBAI,DASHRATH,3.63,,,,
MUMBAI,CHANGODAR,3.85,,,,
MUMBAI,ANKLESHWAR,2.31,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,DEWAS NAKA,4.57,,,,
MUMBAI,BHUJ,4.46,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,BHARUCH,3.41,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,PITHAMPUR,5.45,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,SAROLI,2.81,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,DRONAGIRI,4.18,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,PITHAMPUR,5.45,,,,
MUMBAI,PUDUKKOTTAI,10.18,,,,
MUMBAI,PITHAMPUR,5.45,,,,
MUMBAI,SURAT CITY,3.3,,,,
MUMBAI,PATANCHERU,7.59,,,,
MUMBAI,MYSORE,9.02,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,POR,3.63,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,PATIALA,9.3,,,,
MUMBAI,KOLKATA-SOUTH,11.33,,,,
MUMBAI,BADDI (HIMACHAL PRADESH),7.87,,,,
MUMBAI,RAKHIAL,3.63,,,,
MUMBAI,ODHAV,3.63,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,SURAT CITY,3.3,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,KOTHUR,8.21,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,BHIWADI - RAJASTHAN,7.87,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,NAROL,3.74,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,DELHI (RAMA ROAD),6.99,,,,
MUMBAI,MANDIDEEP,6.33,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,SARKHEJ,3.63,,,,
MUMBAI,ALWAR,8.2,,,,
MUMBAI,COIMBATORE BRANCH,9.3,,,,
MUMBAI,DAPODA,3.63,,,,
MUMBAI,WAGHODIA,3.63,,,,
MUMBAI,SANTEJ,3.91,,,,
MUMBAI,NAROL,3.74,,,,
MUMBAI,PARWANOO,9.3,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,PHURSUNGHI,5.01,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,SARKHEJ,3.63,,,,
MUMBAI,NAVAGAM (BVR),3.3,,,,
MUMBAI,VAPI DELIVERY,1.6,,,,
MUMBAI,NAVAGAM (BVR),3.3,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,KUNDLI BRANCH,7.26,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,HAZIRA,3.91,,,,
MUMBAI,DAHEJ,4.18,,,,
MUMBAI,MIRA ROAD,3.3,,,,
MUMBAI,CHANDRAPUR,7.65,,,,
MUMBAI,DARED,4.18,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,NAVAGAM (BVR),3.3,,,,
MUMBAI,SARANGPUR,3.63,,,,
MUMBAI,MEHSANA (N.G.),4.02,,,,
MUMBAI,BADDI (HIMACHAL PRADESH),7.87,,,,
MUMBAI,RANIPET,9.63,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,SACHIN,2.81,,,,
MUMBAI,PANOLI,3.03,,,,
MUMBAI,AURANGABAD (WALUJ) MIDC,4.46,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,DAMAN DELIVERY UT,1.98,,,,
MUMBAI,BILIMORA,2.31,,,,
MUMBAI,DELHI (RAMA ROAD),6.99,,,,
MUMBAI,BHARUCH,3.41,,,,
MUMBAI,KARAD,7.37,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,NAROL,3.74,,,,
MUMBAI,SARKHEJ,3.63,,,,
MUMBAI,JAMNAGAR,4.18,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,DELHI (RAMA ROAD),6.99,,,,
MUMBAI,BILIMORA,2.31,,,,
MUMBAI,KALAMASSERY,11.06,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,BHAKTINAGAR,3.63,,,,
MUMBAI,CHANDRAPUR,7.65,,,,
MUMBAI,MUNDRA,4.73,,,,
MUMBAI,MYSORE,9.02,,,,
MUMBAI,TIRUPUR,11.06,,,,
MUMBAI,KOLKATA(B T ROAD),11.33,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,HISAR,9.02,,,,
MUMBAI,CHHATRAL (N.G.),3.3,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,WADA,3.3,,,,
MUMBAI,DELHI (RAMA ROAD),6.99,,,,
MUMBAI,FARIDABAD,6.99,,,,
MUMBAI,NOIDA,7.26,,,,
MUMBAI,RUDANAGAR BRANCH,3.41,,,,
MUMBAI,LALBAGH ROAD,8.42,,,,
MUMBAI,MANJUSAR,3.63,,,,
MUMBAI,GANDHINAGAR,3.91,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,HUBSIGUDA,7.87,,,,
MUMBAI,SANAND,3.63,,,,
MUMBAI,BARODA - KARELIBAUG,3.63,,,,
MUMBAI,KHOPOLI,5.01,,,,
MUMBAI,BHARUCH,3.41,,,,
MUMBAI,GURGAON BKG & DLY,6.6,,,,
MUMBAI,SARANGPUR,3.63,,,,
MUMBAI,INDORE CITY,4.9,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,HASSAN,9.9,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,SILVASSA,2.15,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,COIMBATORE BRANCH,9.3,,,,
MUMBAI,VASAI EAST,3.3,,,,
MUMBAI,BILIMORA,2.31,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,NANDESARI,3.63,,,,
MUMBAI,PARDI,2.31,,,,
MUMBAI,COIMBATORE BRANCH,9.3,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,LUCKNOW,9.9,,,,
MUMBAI,LUCKNOW,9.9,,,,
MUMBAI,BADDI (HIMACHAL PRADESH),7.87,,,,
MUMBAI,MAKARPURA,3.63,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,RAKHIAL,3.63,,,,
MUMBAI,ASLALI BRANCH,3.47,,,,
MUMBAI,ANKLESHWAR,2.31,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,HIMATNAGAR,3.91,,,,
MUMBAI,POR,3.63,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,SURAT CITY,3.3,,,,
MUMBAI,VATVA,3.47,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,AMBATTUR-CHENNAI,9.02,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,THIRUVALLUR - CHE,9.08,,,,
MUMBAI,NARODA,3.74,,,,
MUMBAI,DAPODA,3.63,,,,
MUMBAI,DASHRATH,3.63,,,,
MUMBAI,BROADWAY - CHENNAI,9.02,,,,
MUMBAI,SARIGAM,2.37,,,,
MUMBAI,PANOLI,3.03,,,,
MUMBAI,HALOL (GIDC),3.63,,,,
MUMBAI,VALSAD,2.31,,,,
MUMBAI,GANDHIDHAM,4.18,,,,
MUMBAI,RUDRAPUR,8.42,,,,
MUMBAI,GHAZIABAD,7.26,,,,
MUMBAI,V V NAGAR,3.63,,,,
MUMBAI,SHAPAR,3.91,,,,
MUMBAI,METODA,3.91,,,,
MURBAD,GOREGOAN,3.91,,,,
MURBAD,CHANGODAR,4.4,,,,
MURBAD,SIDHPUR,5.72,,,,
MURBAD,ANKLESHWAR,3.63,,,,
MURBAD,SIDHPUR,5.72,,,,
MURBAD,SIDHPUR,5.72,,,,
MURBAD,PADRA (DHABASA),4.46,,,,
MURBAD,NADIAD,4.73,,,,
MURBAD,SILVASSA,3.3,,,,
MURBAD,KUNDLI BRANCH,8.22,,,,
MURBAD,THANA,3.3,,,,
MURBAD,SANTEJ,4.46,,,,
MURBAD,BELGAUM,7.59,,,,
MURBAD,JABALPUR,8.75,,,,
MURBAD,HINDUPUR,9.02,,,,
MURBAD,MAHAD MIDC,3.91,,,,
MURBAD,MAHAD MIDC,3.91,,,,
MURBAD,PADRA (DHABASA),4.46,,,,
MURBAD,SIDHPUR,5.72,,,,
MURBAD,DIWANDEVDI,7.26,,,,
MURBAD,TIRUPATHI,9.63,,,,
MURBAD,NAGERCOIL,13.04,,,,
MURBAD,PONDICHERRY,9.3,,,,
MURBAD,MANESAR,8.75,,,,
MURBAD,MUMBAI,3.3,,,,
MURBAD,COIMBATORE BRANCH,8.42,,,,
MURBAD,VASAI HIGHWAY,3.91,,,,
MURBAD,THANA,3.3,,,,
MURBAD,LUCKNOW,10.73,,,,
MURBAD,BARODA - KARELIBAUG,4.46,,,,
MURBAD,MADURAVOYIL DELIVERY,8.14,,,,
MURBAD,ALAMPUR,12.83,,,,
MURBAD,BHANGEL,8.75,,,,
MURBAD,KHOPOLI,4.73,,,,
MURBAD,CHANGODAR,4.4,,,,
MURBAD,BADDI (HIMACHAL PRADESH),9.63,,,,
MURBAD,SGTN-DELHI,9.02,,,,
MURBAD,KHOPOLI,4.73,,,,
MURBAD,ANDHERI,3.3,,,,
MURBAD,NASIK,3.3,,,,
MURBAD,NASIK,3.3,,,,
MURBAD,PALSANA,4.18,,,,
MURBAD,BARODA - KARELIBAUG,4.46,,,,
MURBAD,SALEM,9.02,,,,
MURBAD,COIMBATORE BRANCH,8.42,,,,
MURBAD,VASAI EAST,3.91,,,,
MURBAD,HOSUR,8.14,,,,
MURBAD,MUMBAI,3.3,,,,
MURBAD,HAROHALLI - BANGALORE,8.75,,,,
MURBAD,ALLEPPEY,10.45,,,,
MURBAD,TIRUPATHI,9.63,,,,
MURBAD,MAHUVA,5.56,,,,
MURBAD,KALAMASSERY,10.73,,,,
MURBAD,OKHLA-1,8.75,,,,
MURBAD,PADRA (DHABASA),4.46,,,,
MURBAD,VATVA,4.62,,,,
MURBAD,GUINDY-CHENNAI,8.75,,,,
MURBAD,ANDHERI,3.3,,,,
MURBAD,ROHA,4.18,,,,
NERUL,ANKLESHWAR,2.2,,,,
NERUL,TALOJA,2.64,,,,
NERUL,ATIKA (RAJKOT),4.79,,,,
NERUL,LALBAGH ROAD,7.87,,,,
NERUL,SAROLI,3.19,,,,
NERUL,RAJAJINAGAR,7.87,,,,
NERUL,JAMNAGAR,3.91,,,,
NERUL,NIGDI,4.18,,,,
NERUL,HOWRAH,10.51,,,,
NERUL,RAIPUR,7.65,,,,
NERUL,BILASPUR,9.3,,,,
NERUL,JALNA,5.61,,,,
NERUL,NANDED,8.03,,,,
NERUL,TALEGAON (BKG & DLY),4.18,,,,
NERUL,BOISAR,3.3,,,,
NERUL,SURAT CITY,3.03,,,,
NERUL,CHANDIGARH BRANCH,7.59,,,,
NERUL,SILVASSA,2.31,,,,
NERUL,CHANGODAR,3.52,,,,
NERUL,SILVASSA,2.31,,,,
NERUL,GANDHIDHAM CITY,3.91,,,,
NERUL,RUDRAPUR,7.87,,,,
NERUL,RAJAJINAGAR,7.87,,,,
NERUL,SONEPAT,7.26,,,,
NERUL,BARODA - KARELIBAUG,3.3,,,,
NERUL,SILVASSA,2.31,,,,
NERUL,KURKUMBH,7.37,,,,
NERUL,PADRA (DHABASA),3.3,,,,
NERUL,SILVASSA,2.31,,,,
NERUL,DHULE,5.28,,,,
NERUL,RAJAJINAGAR,7.87,,,,
NERUL,UMARGAON,1.98,,,,
NERUL,V V NAGAR,3.3,,,,
NERUL,PANOLI,3.03,,,,
NERUL,PALSANA,2.64,,,,
NERUL,SINHAGAD ROAD,4.18,,,,
NERUL,ERODE,10.18,,,,
NERUL,JALGAON,5.56,,,,
NERUL,KURKUMBH,7.37,,,,
NERUL,PHURSUNGI DELIVERY,3.05,,,,
NERUL,NAGPUR WADDHAMNA,5.56,,,,
NERUL,MAHUVA,4.18,,,,
NERUL,BILASPUR,9.3,,,,
NERUL,GANDHINAGAR,3.63,,,,
NERUL,JAMNAGAR,3.91,,,,
NERUL,SURENDRANAGAR,4.18,,,,
NERUL,OKHLA-1,7.26,,,,
NERUL,BOISAR,3.3,,,,
NERUL,DHOLKA,4.18,,,,
PALGHAR,LASUDIA,4.29,,,,
PALGHAR,SECUNDERABAD,6.99,,,,
PALGHAR,NOIDA,6.6,,,,
PALGHAR,AURANGABAD (WALUJ) MIDC,4.46,,,,
PALGHAR,BHOPAL,5.72,,,,
