Bkg Branch,Delivery Branch,Card Rate
HAZIRA,NAGPUR WADDHAMNA,6.95
HAZIRA,RAIPUR,9.55
HAZIRA,ALIPUR BRANCH,8.85
HAZIRA,DELHI (RAMA ROAD),8.6
HAZIRA,DELHI EAST,8.6
HAZIRA,FARIDABAD,8.3
HAZIRA,FARIDABAD FR,8.3
HAZIRA,KUNDLI BRANCH,8.25
HAZIRA,OKHLA-1,8.85
HAZIRA,ROHTAK,8.85
HAZIRA,SONEPAT,8.85
HAZIRA,TIKRI BORDER,8.85
HAZIRA,AJMER,9.2
HAZIRA,ALWAR,8.65
HAZIRA,BAGRU-JAIPUR,8.8
HAZIRA,BAIS GODAM,7.45
HAZIRA,BHIWADI - RAJASTHAN,8.3
HAZIRA,BIKANER,8.35
HAZIRA,DELHI HIGHWAY (JAIPUR) DLY,6.8
HAZIRA,DHARUHERA,8.6
HAZIRA,DHARUHERA FR,8.6
HAZIRA,GGNDLY,7.95
HAZIRA,GURGAON BKG & DLY,8.3
HAZIRA,JAIPUR,6.8
HAZIRA,MANESAR,8.6
HAZIRA,NEEMRANA,8.6
HAZIRA,SITAPURA - JAIPUR,8.9
HAZIRA,TRANSPORT NAGAR JAIPUR,8.15
HAZIRA,AMBALA CITY,10.45
HAZIRA,AMRITSAR,12.9
HAZIRA,BADDI (HIMACHAL PRADESH),9.55
HAZIRA,HISAR,9.85
HAZIRA,JAGADHRI,12.6
HAZIRA,JALANDHAR FR,11
HAZIRA,JAMMU,14.7
HAZIRA,KALA-AMB,11.35
HAZIRA,KARNAL,9.2
HAZIRA,LUDHIANA,10.75
HAZIRA,NALAGARH,10.75
HAZIRA,PANCHKULA BRANCH,9.55
HAZIRA,PANIPAT,9.2
HAZIRA,PARWANOO,11.35
HAZIRA,PATIALA,11.35
HAZIRA,SOLAN,12.25
HAZIRA,SRINAGAR,20.1
HAZIRA,ALLAHABAD,12.6
HAZIRA,BARABANKI,11.35
HAZIRA,GHAZIPUR FR,11.35
HAZIRA,GORAKHPUR,13.4
HAZIRA,KANNAUJ FR,9.85
HAZIRA,KANPUR,9.85
HAZIRA,LUCKNOW,11.35
HAZIRA,SHAHJHANPUR FR,11.35
HAZIRA,VARANASI,12.9
HAZIRA,AGRA,12
HAZIRA,ALIGARH FR,12.9
HAZIRA,FIROZABAD FR,12.9
HAZIRA,GAJRAULA,9.25
HAZIRA,GHAZIABAD,8.85
HAZIRA,GREATER NOIDA,8.85
HAZIRA,GWALIOR,9.2
HAZIRA,MATHURA,9.85
HAZIRA,MEERUT,10.2
HAZIRA,NOIDA,8.85
HAZIRA,BAREILLY,11.35
HAZIRA,DEHRADUN,10.2
HAZIRA,HARIDWAR,9.55
HAZIRA,KASHIPUR,11
HAZIRA,MORADABAD,10.45
HAZIRA,ROORKEE,9.55
HAZIRA,RUDRAPUR,9.85
HAZIRA,SAHARANPUR,11.7
HAZIRA,SELAQUI,10.2
HAZIRA,SITARGANJ,10.75
HAZIRA,ICHALKARANJI,9.85
HAZIRA,KAGAL,9.85
HAZIRA,KARAD,8.6
HAZIRA,KOLHAPUR,8.05
HAZIRA,LOTE,6.35
HAZIRA,MADGAON,10.75
HAZIRA,MAHAD MIDC,5.75
HAZIRA,MAPUCA,9.2
HAZIRA,PONDA,9.2
HAZIRA,RATNAGIRI,9.55
HAZIRA,ROHA,5.75
HAZIRA,SANGLI,9.55
HAZIRA,SATARA,8.6
HAZIRA,SHINOLI,8.5
HAZIRA,SOLAPUR,8.85
HAZIRA,TEMBHURNI,8.85
HAZIRA,VERNA-GOA,9.2
HAZIRA,AHEMADNAGAR,6.95
HAZIRA,AURANGABAD (WALUJ) MIDC,5.75
HAZIRA,AURANGABAD CITY- CHIKALTHANA,6.35
HAZIRA,DHULE,7.65
HAZIRA,GONDHE,5.75
HAZIRA,JALGAON,7.4
HAZIRA,JALNA,6.7
HAZIRA,LATUR,11.7
HAZIRA,MALEGAON,8.05
HAZIRA,NANDED,11.2
HAZIRA,NASIK,4.55
HAZIRA,SINNER,4.55
HAZIRA,ALANDI,6.35
HAZIRA,CHAKAN CENTRAL CELL,6.7
HAZIRA,HINJEWADI,6.7
HAZIRA,LONAVALA,7.25
HAZIRA,NIGDI,6.05
HAZIRA,PIRANGUT,6.7
HAZIRA,RANJANGAON,6.95
HAZIRA,TALEGAON (BKG & DLY),6.35
HAZIRA,BARAMATI,8.6
HAZIRA,KHED SHIVAPUR,6.7
HAZIRA,KURKUMBH,8.6
HAZIRA,PHURSUNGHI,5.75
HAZIRA,PHURSUNGI DELIVERY,5.1
HAZIRA,PUNE CITY,6.7
HAZIRA,SHIRVAL,6.95
HAZIRA,SINHAGAD ROAD,6.7
HAZIRA,WAGHOLI,5.75
HAZIRA,BHUJ,5.6
HAZIRA,GANDHIDHAM,4.45
HAZIRA,GANDHIDHAM CITY,5
HAZIRA,MANDVI,5.85
HAZIRA,MUNDRA,5.6
HAZIRA,ATIKA (RAJKOT),5
HAZIRA,BHAKTINAGAR,5
HAZIRA,BHAVNAGAR,5
HAZIRA,DARED,5.3
HAZIRA,GONDAL,5.3
HAZIRA,JAMNAGAR,5.3
HAZIRA,JAMNAGAR - SHANKARTEKRI,5.3
HAZIRA,JETPUR,5.3
HAZIRA,JUNAGADH-SABALPUR,5.6
HAZIRA,MAHUVA,5.6
HAZIRA,METODA,5
HAZIRA,MORBI,5.6
HAZIRA,NAVAGAM (BHAVNAGAR),4.45
HAZIRA,PIPAVAV,6.2
HAZIRA,PORBANDAR,5.85
HAZIRA,RUDANAGAR BRANCH,4.45
HAZIRA,SHAPAR,5
HAZIRA,SIHOR,5
HAZIRA,THANGADH,5.3
HAZIRA,TRAJPAR (MORBI),5.3
HAZIRA,VAVDI-RAJKOT,5
HAZIRA,VERAVAL,6.2
HAZIRA,ANKLESHWAR,2.2
HAZIRA,BHARUCH,3.5
HAZIRA,DAHEJ,4.7
HAZIRA,JHAGADIA,3.1
HAZIRA,KIM,3.5
HAZIRA,PANOLI,3.25
HAZIRA,BILIMORA,3.25
HAZIRA,HAZIRA,1.6
HAZIRA,KADODARA BRANCH,1.6
HAZIRA,NAVSARI,1.7
HAZIRA,PALSANA,1.6
HAZIRA,SACHIN,1.6
HAZIRA,SAROLI,1
HAZIRA,SURAT CITY,1.6
HAZIRA,UNN,1.6
HAZIRA,DADRA NAGAR HAVELI,2.8
HAZIRA,DAMAN DELIVERY UT,2.8
HAZIRA,PARDI,3.25
HAZIRA,SARIGAM,2.8
HAZIRA,SILVASSA,2.8
HAZIRA,UMARGAON,2.8
HAZIRA,VALSAD,3.25
HAZIRA,VAPI DELIVERY,2.1
KADODARA BRANCH,ASLALI BRANCH,3.25
KADODARA BRANCH,GOBLEJ BKG & DLY,3.25
KADODARA BRANCH,KATHWADA,3.5
KADODARA BRANCH,KUBADTHAL FR,3.95
KADODARA BRANCH,NADIAD,3.5
KADODARA BRANCH,NARODA,3.25
KADODARA BRANCH,NAROL,3.25
KADODARA BRANCH,ODHAV,3.25
KADODARA BRANCH,RAKHIAL,3.25
KADODARA BRANCH,SARANGPUR,3.5
KADODARA BRANCH,VATVA,3.25
KADODARA BRANCH,CHANGODAR,3.25
KADODARA BRANCH,CHHATRAL (N.G.),3.5
KADODARA BRANCH,DHOLKA,3.25
KADODARA BRANCH,GANDHINAGAR,3.5
KADODARA BRANCH,HIMATNAGAR,3.85
KADODARA BRANCH,KALOL (N.G.),4.45
KADODARA BRANCH,MEHSANA (N.G.),3.85
KADODARA BRANCH,PALANPUR,4.7
KADODARA BRANCH,SANAND,3.5
KADODARA BRANCH,SANTEJ,3.5
KADODARA BRANCH,SARKHEJ,3.25
KADODARA BRANCH,SIDHPUR,4.7
KADODARA BRANCH,SURENDRANAGAR,3.85
KADODARA BRANCH,ABU ROAD,5.3
KADODARA BRANCH,BHILWARA FR,6.85
KADODARA BRANCH,CHITTORGARH  FR,7.3
KADODARA BRANCH,JODHPUR,6.8
KADODARA BRANCH,KOTA (RAJASTAN) FR,8.1
KADODARA BRANCH,PALI,8.1
KADODARA BRANCH,UDAIPUR,5.3
KADODARA BRANCH,CHITTOOR,13.2
KADODARA BRANCH,CUDDAPAH,12.6
KADODARA BRANCH,ELURU,11
KADODARA BRANCH,GAJUWAKA,10.75
KADODARA BRANCH,GUDIVADA,12
KADODARA BRANCH,GUNTUR,10.75
KADODARA BRANCH,KAKINADA,11.7
KADODARA BRANCH,NELLORE,12.25
KADODARA BRANCH,ONGOLE,11.35
KADODARA BRANCH,PARAWADA,11.8
KADODARA BRANCH,RAJAHMUNDRY CITY,11.7
KADODARA BRANCH,SRIKAKULAM,13.8
KADODARA BRANCH,TIRUPATHI,11
KADODARA BRANCH,VIJAYAWADA,9.55
KADODARA BRANCH,VIZIANAGARAM,13.45
KADODARA BRANCH,ADILABAD,7.05
KADODARA BRANCH,ANANTAPURAM,13.8
KADODARA BRANCH,AUTONAGAR-HYD,8.6
KADODARA BRANCH,BAHADURPALLY BOOKING,7.4
KADODARA BRANCH,BAHADURPALLY DELIVERY,8.05
KADODARA BRANCH,BALANAGAR,8.3
KADODARA BRANCH,BOLLARAM,8
KADODARA BRANCH,CHERLAPALLY,7.45
KADODARA BRANCH,DIWANDEVDI,8.3
KADODARA BRANCH,HUBSIGUDA,8.3
KADODARA BRANCH,HYDERABAD CENTRAL CELL,8.3
KADODARA BRANCH,JEEDIMETLA,8.05
KADODARA BRANCH,KARIMNAGAR,9.85
KADODARA BRANCH,KHAMMAM,9.55
KADODARA BRANCH,KOTHUR,8.6
KADODARA BRANCH,KURNOOL,9.85
KADODARA BRANCH,NIZAMABAD,10.2
KADODARA BRANCH,PATANCHERU,8.05
KADODARA BRANCH,SECUNDERABAD,8.05
KADODARA BRANCH,WARANGAL,9.55
KADODARA BRANCH,BARODA - KARELIBAUG,3.25
KADODARA BRANCH,DASHRATH,2.45
KADODARA BRANCH,GODHRA PANCHMAHAL,3.5
KADODARA BRANCH,GOLDEN BRANCH,3.5
KADODARA BRANCH,HALOL (GIDC),3.5
KADODARA BRANCH,JAROD,3.5
KADODARA BRANCH,MAKARPURA,3.5
KADODARA BRANCH,MANJUSAR,3.25
KADODARA BRANCH,NANDESARI,3.25
KADODARA BRANCH,PADRA (DHABASA),3.25
KADODARA BRANCH,POR,3.25
KADODARA BRANCH,V V NAGAR,3.5
KADODARA BRANCH,WAGHODIA,3.25
KADODARA BRANCH,AMBATTUR-CHENNAI,10.75
KADODARA BRANCH,BROADWAY - CHENNAI,10.75
KADODARA BRANCH,GUINDY-CHENNAI,10.75
KADODARA BRANCH,GUMMIDIPOONDI - CHENNAI,11.35
KADODARA BRANCH,PALLAVARAM - CHENNAI,8.9
KADODARA BRANCH,PARIVAKKAM-CHENNAI,9.85
KADODARA BRANCH,REDHILLS - CHENNAI,9.25
KADODARA BRANCH,SRICITY - TADA,12.05
KADODARA BRANCH,THIRUVALLUR - CHE,10.5
KADODARA BRANCH,AMBUR,12.6
KADODARA BRANCH,CUDDALORE,13.45
KADODARA BRANCH,KELAMBAKKAM,9.8
KADODARA BRANCH,MARAIMALAI NAGAR - CHE,11.35
KADODARA BRANCH,ORAGADAM-CHE,10.75
KADODARA BRANCH,PANRUTI,12.1
KADODARA BRANCH,PERUNGUDI,10.75
KADODARA BRANCH,PONDICHERRY,12.25
KADODARA BRANCH,RANIPET,11.7
KADODARA BRANCH,SRIPERUMBUDUR,10.75
KADODARA BRANCH,THIRUBHUVANAI,11.2
KADODARA BRANCH,THIRUVNNAMALAI,11.25
KADODARA BRANCH,BARGUR,11.05
KADODARA BRANCH,COIMBATORE BRANCH,9.85
KADODARA BRANCH,DHARMAPURI,11.2
KADODARA BRANCH,ERODE,11.7
KADODARA BRANCH,KANJIKODE,12.25
KADODARA BRANCH,KARAIKAL,15.05
KADODARA BRANCH,KARUR,11.7
KADODARA BRANCH,KOMARAPALAYAM,12.25
KADODARA BRANCH,KOVILPATTI,14.05
KADODARA BRANCH,KUMBAKONAM,13.9
KADODARA BRANCH,METTUR DAM,11.7
KADODARA BRANCH,NEELAMBUR,3.6
KADODARA BRANCH,PERUNDURAI SIPCOT,11.7
KADODARA BRANCH,POLLACHI,11.05
KADODARA BRANCH,PUDUKKOTTAI,16.2
KADODARA BRANCH,SALEM,9.85
KADODARA BRANCH,THANJAVUR,14.9
KADODARA BRANCH,TIRUCHENGODE,11.7
KADODARA BRANCH,TIRUPUR,11.7
KADODARA BRANCH,TRICHY,12
KADODARA BRANCH,ALLEPPEY,14.1
KADODARA BRANCH,CALICUT,13.45
KADODARA BRANCH,KALAMASSERY,12.6
KADODARA BRANCH,KANNUR,14.5
KADODARA BRANCH,KOTTAYAM,14.1
KADODARA BRANCH,MANJERI,14.4
KADODARA BRANCH,PERUMBAVOOR,13.4
KADODARA BRANCH,SHORANUR,11.05
KADODARA BRANCH,TRICHUR,13.45
KADODARA BRANCH,TRIVANDRUM,15.3
KADODARA BRANCH,DINDIGUL,12.25
KADODARA BRANCH,MADURAI,11.7
KADODARA BRANCH,NAGERCOIL,14.4
KADODARA BRANCH,RAJAPALAYAM,13.8
KADODARA BRANCH,SIVAKASI,13.45
KADODARA BRANCH,TIRUNELVELI,14.1
KADODARA BRANCH,TUTICORIN,14.1
KADODARA BRANCH,ALAMPUR,12.65
KADODARA BRANCH,BALASORE,15.1
KADODARA BRANCH,BERHAMPUR,15.45
KADODARA BRANCH,BHUBANESWAR,13.75
KADODARA BRANCH,BISHNUPUR-KOLKATTA,12.7
KADODARA BRANCH,BURDWAN,12.4
KADODARA BRANCH,CUTTACK,12.25
KADODARA BRANCH,DANKUNI,11.55
KADODARA BRANCH,DEOGHAR,16
KADODARA BRANCH,DURGAPUR,12.75
KADODARA BRANCH,GUWAHATI,19.8
KADODARA BRANCH,HALDIA,12.8
KADODARA BRANCH,HOWRAH,11.4
KADODARA BRANCH,JAIGAON - BHUTAN,26.85
KADODARA BRANCH,JAMSHEDPUR,13.15
KADODARA BRANCH,KALYANI,13
KADODARA BRANCH,KHARAGPUR,14.3
KADODARA BRANCH,KOLKATA TR,11.4
KADODARA BRANCH,KOLKATA(B T ROAD),12.25
KADODARA BRANCH,KOLKATA-CENTRAL,12.55
KADODARA BRANCH,KOLKATA-SOUTH,12.8
KADODARA BRANCH,MALDA,14.9
KADODARA BRANCH,PATNA,13.15
KADODARA BRANCH,RANCHI,14.3
KADODARA BRANCH,RANCHI DELIVERY,14.3
KADODARA BRANCH,RAXAUL,15.45
KADODARA BRANCH,SAMBALPUR,12
KADODARA BRANCH,SANTIPUR,12.96
KADODARA BRANCH,SILIGURI,18.65
KADODARA BRANCH,CHIKMAGALUR,11.35
KADODARA BRANCH,DODDABALLAPUR - BNG,10.2
KADODARA BRANCH,HASSAN,11.35
KADODARA BRANCH,HINDUPUR,10.75
KADODARA BRANCH,HOSKOTE,10.2
KADODARA BRANCH,K R PURAM,10.2
KADODARA BRANCH,KOLAR,8.9
KADODARA BRANCH,NELAMANGALA (BKG & DLY),9.2
KADODARA BRANCH,NELAMANGALA CENTRAL CELL,9.2
KADODARA BRANCH,PEENYA,9.85
KADODARA BRANCH,RAJAJINAGAR,10.2
KADODARA BRANCH,TUMKUR,10.45
KADODARA BRANCH,TUMKUR INDUSTRIAL AREA,10.45
KADODARA BRANCH,BIDADI,10.45
KADODARA BRANCH,BOMMASANDRA,10.2
KADODARA BRANCH,HAROHALLI - BANGALORE,10.45
KADODARA BRANCH,HOSUR,10.2
KADODARA BRANCH,HOSUR INDUSTRIAL AREA,10.2
KADODARA BRANCH,JIGANI,10.2
KADODARA BRANCH,KANAKAPURA ROAD - BNG,10.2
KADODARA BRANCH,LALBAGH ROAD,10.2
KADODARA BRANCH,BAIKAMPADY - MNG,10.35
KADODARA BRANCH,KARKALA,10.8
KADODARA BRANCH,KUNDAPUR,10.8
KADODARA BRANCH,KUSHALNAGAR – KODAGU,12.25
KADODARA BRANCH,MANDYA,10.2
KADODARA BRANCH,MANGALORE,10.45
KADODARA BRANCH,MYSORE,10.75
KADODARA BRANCH,MYSORE - INDUSTRIAL AREA,8.9
KADODARA BRANCH,PUTTUR,10.65
KADODARA BRANCH,RAMANAGARA,10.2
KADODARA BRANCH,UDUPI,10.45
KADODARA BRANCH,BAGALAKOTE - NORTH KAR,10.45
KADODARA BRANCH,BELGAUM,8.05
KADODARA BRANCH,BELGAUM INDL ESTATE,8.05
KADODARA BRANCH,BELLARY,10.2
KADODARA BRANCH,BHATKAL,9.35
KADODARA BRANCH,BIDAR,11.7
KADODARA BRANCH,BIJAPUR,10.45
KADODARA BRANCH,CHITRADURGA,10.45
KADODARA BRANCH,DAVANAGERE,10.2
KADODARA BRANCH,GADAG,9.55
KADODARA BRANCH,GANGAVATI,10.75
KADODARA BRANCH,GOKAK,9.25
KADODARA BRANCH,GULBARGA,11
KADODARA BRANCH,HOSPET,10.2
KADODARA BRANCH,HUBLI – TARIHAL,8.05
KADODARA BRANCH,HUBLI CITY,8.85
KADODARA BRANCH,HUBLI INDL AREA,8.05
KADODARA BRANCH,KARWAR,11.7
KADODARA BRANCH,KOPPAL,10.2
KADODARA BRANCH,KUMTA,10.45
KADODARA BRANCH,MACHHE INDUSTRIAL,8.5
KADODARA BRANCH,RABAKAVI - BANATTI,10.75
KADODARA BRANCH,RAICHUR,11
KADODARA BRANCH,RANEBENNUR,9.85
KADODARA BRANCH,SHIMOGA,10.75
KADODARA BRANCH,SINDHNOOR,11.35
KADODARA BRANCH,SIRSI,10.2
KADODARA BRANCH,AMBERNATH,4.7
KADODARA BRANCH,DAPODA,2.7
KADODARA BRANCH,DOMBIVLI,4.7
KADODARA BRANCH,MURBAD,4.4
KADODARA BRANCH,THANA,4.15
KADODARA BRANCH,VASIND,5.45
KADODARA BRANCH,WADA,4.1
KADODARA BRANCH,ANDHERI,4.45
KADODARA BRANCH,BHANDUP,6.45
KADODARA BRANCH,BOISAR,3.5
KADODARA BRANCH,DAHANU,3.5
KADODARA BRANCH,GENESIS,3.7
KADODARA BRANCH,GOREGOAN,6.2
KADODARA BRANCH,MIRA ROAD,3.85
KADODARA BRANCH,MUMBAI,4.45
KADODARA BRANCH,PALGHAR,3.5
KADODARA BRANCH,VASAI EAST,3.85
KADODARA BRANCH,VASAI HIGHWAY,3.85
KADODARA BRANCH,WADALA - MUMBAI,4.45
KADODARA BRANCH,DRONAGIRI,5
KADODARA BRANCH,KALAMBOLI,4.45
KADODARA BRANCH,KHOPOLI,5.3
KADODARA BRANCH,MAHAPE,6.2
KADODARA BRANCH,PATALGANGA,4.7
KADODARA BRANCH,TALOJA,4.45
KADODARA BRANCH,BHOPAL,7.65
KADODARA BRANCH,DEWAS (TOWN),6.7
KADODARA BRANCH,DEWAS NAKA,5.45
KADODARA BRANCH,INDORE CITY,6.35
KADODARA BRANCH,LASUDIA,5.45
KADODARA BRANCH,MANDIDEEP,7.4
KADODARA BRANCH,PITHAMPUR,6.7
KADODARA BRANCH,UJJAIN,5.7
KADODARA BRANCH,AKOLA,9.95
KADODARA BRANCH,AMRAVATI,9.2
KADODARA BRANCH,BHANDARA,8.85
KADODARA BRANCH,BHILAI,9.55
KADODARA BRANCH,BILASPUR,11.25
KADODARA BRANCH,BUTIBORI,8.3
KADODARA BRANCH,CHANDRAPUR,9.55
KADODARA BRANCH,CHHINDWARA,8.85
KADODARA BRANCH,GANDHIBAGH-NGP,7.3
KADODARA BRANCH,JABALPUR,10.75
KADODARA BRANCH,KHAMGAON,10.2
KADODARA BRANCH,MALKAPUR,11.45
KADODARA BRANCH,NAGPUR (WADI),8.05
KADODARA BRANCH,NAGPUR CITY,9.2
KADODARA BRANCH,NAGPUR CIY FR,9.2
KADODARA BRANCH,NAGPUR WADDHAMNA,6.95
KADODARA BRANCH,RAIPUR,9.55
KADODARA BRANCH,ALIPUR BRANCH,8.85
KADODARA BRANCH,DELHI (RAMA ROAD),8.6
KADODARA BRANCH,DELHI EAST,8.6
KADODARA BRANCH,FARIDABAD,8.3
KADODARA BRANCH,FARIDABAD FR,8.3
KADODARA BRANCH,KUNDLI BRANCH,7.8
KADODARA BRANCH,OKHLA-1,8.6
KADODARA BRANCH,ROHTAK,8.6
KADODARA BRANCH,SONEPAT,8.6
KADODARA BRANCH,TIKRI BORDER,8.85
KADODARA BRANCH,AJMER,9.2
KADODARA BRANCH,ALWAR,9.25
KADODARA BRANCH,BAGRU-JAIPUR,8.35
KADODARA BRANCH,BAIS GODAM,7.45
KADODARA BRANCH,BHIWADI - RAJASTHAN,8.3
KADODARA BRANCH,BIKANER,8.35
KADODARA BRANCH,DELHI HIGHWAY (JAIPUR) DLY,6.8
KADODARA BRANCH,DHARUHERA,8.6
KADODARA BRANCH,DHARUHERA FR,8.6
KADODARA BRANCH,GGNDLY,7.45
KADODARA BRANCH,GURGAON BKG & DLY,8.05
KADODARA BRANCH,JAIPUR,6.8
KADODARA BRANCH,MANESAR,8.6
KADODARA BRANCH,NEEMRANA,8.6
KADODARA BRANCH,SITAPURA - JAIPUR,8.65
KADODARA BRANCH,TRANSPORT NAGAR JAIPUR,7.65
KADODARA BRANCH,AMBALA CITY,10.45
KADODARA BRANCH,AMRITSAR,12.9
KADODARA BRANCH,BADDI (HIMACHAL PRADESH),9.55
KADODARA BRANCH,HISAR,9.85
KADODARA BRANCH,JAGADHRI,12.6
KADODARA BRANCH,JALANDHAR FR,11
KADODARA BRANCH,JAMMU,14.35
KADODARA BRANCH,KALA-AMB,11.35
KADODARA BRANCH,KARNAL,9.2
KADODARA BRANCH,LUDHIANA,10.75
KADODARA BRANCH,NALAGARH,10.75
KADODARA BRANCH,PANCHKULA BRANCH,9.55
KADODARA BRANCH,PANIPAT,9.2
KADODARA BRANCH,PARWANOO,11.35
KADODARA BRANCH,PATIALA,11.35
KADODARA BRANCH,SOLAN,12.25
KADODARA BRANCH,SRINAGAR,19.65
KADODARA BRANCH,ALLAHABAD,12.6
KADODARA BRANCH,BARABANKI,11.35
KADODARA BRANCH,GHAZIPUR FR,11.35
KADODARA BRANCH,GORAKHPUR,13.4
KADODARA BRANCH,KANNAUJ FR,9.85
KADODARA BRANCH,KANPUR,9.85
KADODARA BRANCH,LUCKNOW,11.35
KADODARA BRANCH,SHAHJHANPUR FR,11.35
KADODARA BRANCH,VARANASI,12.9
KADODARA BRANCH,AGRA,12
KADODARA BRANCH,ALIGARH FR,12.9
KADODARA BRANCH,FIROZABAD FR,12.9
KADODARA BRANCH,GAJRAULA,8.8
KADODARA BRANCH,GHAZIABAD,8.85
KADODARA BRANCH,GREATER NOIDA,8.6
KADODARA BRANCH,GWALIOR,9.2
KADODARA BRANCH,MATHURA,9.85
KADODARA BRANCH,MEERUT,10.2
KADODARA BRANCH,NOIDA,8.6
KADODARA BRANCH,BAREILLY,11.35
KADODARA BRANCH,DEHRADUN,10.2
KADODARA BRANCH,HARIDWAR,9.55
KADODARA BRANCH,KASHIPUR,11
KADODARA BRANCH,MORADABAD,10.2
KADODARA BRANCH,ROORKEE,9.55
KADODARA BRANCH,RUDRAPUR,9.55
KADODARA BRANCH,SAHARANPUR,11.7
KADODARA BRANCH,SELAQUI,10.2
KADODARA BRANCH,SITARGANJ,10.75
KADODARA BRANCH,ICHALKARANJI,9.85
KADODARA BRANCH,KAGAL,9.85
KADODARA BRANCH,KARAD,8.6
KADODARA BRANCH,KOLHAPUR,8.05
KADODARA BRANCH,LOTE,6.35
KADODARA BRANCH,MADGAON,10.75
KADODARA BRANCH,MAHAD MIDC,5.75
KADODARA BRANCH,MAPUCA,8.85
KADODARA BRANCH,PONDA,8.85
KADODARA BRANCH,RATNAGIRI,9.55
KADODARA BRANCH,ROHA,5.45
KADODARA BRANCH,SANGLI,9.55
KADODARA BRANCH,SATARA,8.6
KADODARA BRANCH,SHINOLI,8.05
KADODARA BRANCH,SOLAPUR,8.85
KADODARA BRANCH,TEMBHURNI,8.85
KADODARA BRANCH,VERNA-GOA,8.85
KADODARA BRANCH,AHEMADNAGAR,6.7
KADODARA BRANCH,AURANGABAD (WALUJ) MIDC,5.45
KADODARA BRANCH,AURANGABAD CITY- CHIKALTHANA,6.35
KADODARA BRANCH,DHULE,7.65
KADODARA BRANCH,GONDHE,5.75
KADODARA BRANCH,JALGAON,6.95
KADODARA BRANCH,JALNA,6.7
KADODARA BRANCH,LATUR,11.7
KADODARA BRANCH,MALEGAON,7.65
KADODARA BRANCH,NANDED,11.2
KADODARA BRANCH,NASIK,4.55
KADODARA BRANCH,SINNER,4.55
KADODARA BRANCH,ALANDI,6.05
KADODARA BRANCH,CHAKAN CENTRAL CELL,6.7
KADODARA BRANCH,HINJEWADI,6.7
KADODARA BRANCH,LONAVALA,7.25
KADODARA BRANCH,NIGDI,6.05
KADODARA BRANCH,PIRANGUT,6.7
KADODARA BRANCH,RANJANGAON,6.7
KADODARA BRANCH,TALEGAON (BKG & DLY),6.35
KADODARA BRANCH,BARAMATI,8.6
KADODARA BRANCH,KHED SHIVAPUR,6.7
KADODARA BRANCH,KURKUMBH,8.6
KADODARA BRANCH,PHURSUNGHI,5.75
KADODARA BRANCH,PHURSUNGI DELIVERY,4.65
KADODARA BRANCH,PUNE CITY,6.7
KADODARA BRANCH,SHIRVAL,6.7
KADODARA BRANCH,SINHAGAD ROAD,6.7
KADODARA BRANCH,WAGHOLI,5.75
KADODARA BRANCH,BHUJ,5.3
KADODARA BRANCH,GANDHIDHAM,4.45
KADODARA BRANCH,GANDHIDHAM CITY,5
KADODARA BRANCH,MANDVI,5.85
KADODARA BRANCH,MUNDRA,5.6
KADODARA BRANCH,ATIKA (RAJKOT),4.7
KADODARA BRANCH,BHAKTINAGAR,4.7
KADODARA BRANCH,BHAVNAGAR,4.7
KADODARA BRANCH,DARED,5.3
KADODARA BRANCH,GONDAL,5.3
KADODARA BRANCH,JAMNAGAR,5.3
KADODARA BRANCH,JAMNAGAR - SHANKARTEKRI,5.3
KADODARA BRANCH,JETPUR,5.3
KADODARA BRANCH,JUNAGADH-SABALPUR,5.6
KADODARA BRANCH,MAHUVA,5.6
KADODARA BRANCH,METODA,5
KADODARA BRANCH,MORBI,5.6
KADODARA BRANCH,NAVAGAM (BHAVNAGAR),4.1
KADODARA BRANCH,PIPAVAV,5.85
KADODARA BRANCH,PORBANDAR,5.85
KADODARA BRANCH,RUDANAGAR BRANCH,4.45
KADODARA BRANCH,SHAPAR,4.7
KADODARA BRANCH,SIHOR,5
KADODARA BRANCH,THANGADH,5.3
KADODARA BRANCH,TRAJPAR (MORBI),5.3
KADODARA BRANCH,VAVDI-RAJKOT,5
KADODARA BRANCH,VERAVAL,5.85
KADODARA BRANCH,ANKLESHWAR,2.15
KADODARA BRANCH,BHARUCH,3.25
KADODARA BRANCH,DAHEJ,4.7
KADODARA BRANCH,JHAGADIA,2.7
KADODARA BRANCH,KIM,3.25
KADODARA BRANCH,PANOLI,3.25
KADODARA BRANCH,BILIMORA,3.25
KADODARA BRANCH,HAZIRA,1.55
KADODARA BRANCH,KADODARA BRANCH,1.55
KADODARA BRANCH,NAVSARI,1.65
KADODARA BRANCH,PALSANA,1.55
KADODARA BRANCH,SACHIN,1.55
KADODARA BRANCH,SAROLI,0.95
KADODARA BRANCH,SURAT CITY,1.55
KADODARA BRANCH,UNN,1.55
KADODARA BRANCH,DADRA NAGAR HAVELI,2.8
KADODARA BRANCH,DAMAN DELIVERY UT,2.8
KADODARA BRANCH,PARDI,3.25
KADODARA BRANCH,SARIGAM,2.8
KADODARA BRANCH,SILVASSA,2.8
KADODARA BRANCH,UMARGAON,2.45
KADODARA BRANCH,VALSAD,3.25
KADODARA BRANCH,VAPI DELIVERY,2.05
NAVSARI,ASLALI BRANCH,3.25
NAVSARI,GOBLEJ BKG & DLY,3.25
NAVSARI,KATHWADA,3.5
